id,type_document_id,vendor_comp_id,type_dept_id,type_team_id,status,no_indent,brand_company_id,no_design,type_season_id,name_season_y_id,type_gender_id,type_fabric_main_id,type_apparel_id,type_order_id,type_order_detail_id,mid_comp_id,creted_ts,updated_ts
,18,24,3,Null,OPEN,LEV-1096,101,32193TLY4,4,3,12,2,10,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1072,101,321X11LY2,4,3,12,2,24,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1065,101,321X11LY7,4,3,12,2,24,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1090,101,321X11LY8,4,3,12,2,24,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1080,101,321X21AY9,4,3,12,2,31,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1079,101,321X27LY4,4,3,12,2,35,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1082,101,321Y21CYA,4,3,12,2,31,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1081,101,321Y21LY2,4,3,12,2,31,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1073,101,321Y30LY1,4,3,12,2,10,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1087,101,321Y30LY4,4,3,12,2,10,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22016,101,322111KY4,3,4,12,2,24,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22020,101,322121DY7,3,4,12,2,31,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22017,101,322121KY6,3,4,12,2,31,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22022,101,322211HY6,3,4,12,2,24,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22032,101,322211HY7,3,4,12,2,24,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22011,101,322211LY2,3,4,12,2,24,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22012,101,322211LY3,3,4,12,2,24,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22013,101,322211LY4,3,4,12,2,24,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22018,101,322211LY5,3,4,12,2,24,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22023,101,322221HY7,3,4,12,2,31,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22033,101,322221HY8,3,4,12,2,31,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22019,101,322221LY3,3,4,12,2,31,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22024,101,322221LY6,3,4,12,2,31,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22027,101,322227LY1,3,4,12,2,35,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22028,101,322227LY2,3,4,12,2,35,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22025,101,322311DYA,3,4,12,2,24,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22029,101,322311LY4,3,4,12,2,24,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22035,101,322311LY4-1,3,4,12,2,24,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22043,101,322311LY6,3,4,12,2,24,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22026,101,322321DYH,3,4,12,2,31,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22031,101,322321LY3,3,4,12,2,31,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22030,101,322321LY4,3,4,12,2,31,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22056,101,322411DY1,3,4,12,2,24,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22050,101,322411HY2,3,4,12,2,24,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22040,101,322411HY3,3,4,12,2,24,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22049,101,322411LY1,3,4,12,2,24,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22044,101,322421LY1,3,4,12,2,31,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22048,101,322421LY5,3,4,12,2,31,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22057,101,322425DY3,3,4,12,2,31,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22053,101,322427EY3,3,4,12,2,35,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22045,101,322511FY1,3,4,12,2,24,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22046,101,322525FY2,3,4,12,2,31,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22051,101,322525LY3,3,4,12,2,31,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22055,101,322527LY3,3,4,12,2,35,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1024,101,421130AY2,3,3,2,2,10,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1084,101,421721EZ7,4,3,2,2,31,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1077,101,421939AY2,4,3,2,2,24,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1088,101,421X30LY3,4,3,2,2,10,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1098,101,451X30LQZ,4,3,2,2,10,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LPV-1001,108,617U,3,3,2,2,24,1,6,29,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LPV-1002,108,617UM,3,3,2,2,24,1,6,29,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LPV-1003,108,889T,3,3,2,2,29,1,6,29,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LPV-1005,108,923U (G01184),4,3,2,2,24,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LPV-1006,108,923U (G01456),4,3,2,2,24,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LPV-1007,108,942U,4,3,2,2,29,1,6,17,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LPV-1008,108,946U,4,3,2,2,29,1,6,17,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LPV-1004,108,960T,3,3,2,2,29,1,6,17,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LJV-1001,82,ADHJ-01,3,3,12,2,31,1,6,17,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LJV-1002,82,ADHJ-02,4,3,12,2,31,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LFK-1001,83,LFK-1001,3,3,12,2,35,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LFK-1001-1,83,LFK-1001-1,3,3,12,2,35,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LFK-1001-2,83,LFK-1001-2,3,3,12,2,35,1,6,17,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LFK-1002,83,LFK-1002,3,3,12,1,48,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LFK-1003,83,LFK-1003,3,3,12,2,35,1,6,31,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LFK-1003-1,83,LFK-1003-1,3,3,12,2,35,1,6,31,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LFK-1004,83,LFK-1004,3,3,12,2,31,1,6,31,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LFK-1005,83,LFK-1005,3,3,12,1,48,1,6,17,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LFK-1006,83,LFK-1006,4,3,12,1,48,1,6,16,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LFK-1008,83,LFK-1008,4,3,12,2,10,1,6,16,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LFK-1009,83,LFK-1009,4,3,12,2,31,1,6,31,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LFK-1010,83,LFK-1010,4,3,12,1,48,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LFV-1001,83,LFV-1001,3,3,12,2,31,1,6,16,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LZV-1001,111,LZV-1001,4,3,2,2,10,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LZV-1002,111,LZV-1002,4,3,2,2,24,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LZV-1003,111,LZV-1003,4,3,2,2,24,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LZV-1004,111,LZV-1004,4,3,2,2,24,1,6,17,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LZV-1005,111,LZV-1005,4,3,2,2,15,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LZV-1006,111,LZV-1006,4,3,2,2,15,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LZV-1007,111,LZV-1007,4,3,2,2,15,1,6,16,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LZV-1008,111,LZV-1008,4,3,2,2,15,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LNV-1001,109,NF-2001,3,3,12,1,21,1,6,16,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LNV-1002,109,NF-2002,3,3,12,1,6,1,6,16,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LNV-1002-1,109,NF-2002-1,4,3,12,1,6,1,6,17,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LNV-1003,109,NF-2003,3,3,12,1,21,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LNV-1004,109,NF-2004,3,3,12,1,35,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LNV-1004-1,109,NF-2004-1,4,3,12,1,1,1,6,17,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LNV-1005,109,NF-2005,3,3,12,1,46,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LNV-1006,109,NF-2006,3,3,12,2,31,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LNV-1007,109,NF-2007,3,3,12,1,3,1,6,17,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LNV-1007-1,109,NF-2007-1,4,3,12,1,3,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LNV-1008,109,NF-2008,3,3,12,2,16,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LNV-1009,109,NF-2009,3,3,12,2,26,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LNV-1010,109,NF-2010,3,3,12,2,46,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LNV-1011,109,NF-2011,3,3,12,2,3,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LNV-1012,109,NF-2012,3,3,12,2,3,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LNV-1013,109,NF-2013,3,3,12,2,36,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LNV-1014,109,NF-2014,3,3,12,1,9,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LNV-1015,109,NF-2015,3,3,12,2,29,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LNV-1016,109,NF-2101,4,3,12,1,9,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LNV-1017,109,NF-2102,4,3,12,1,48,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LNV-1018,109,NF-2103,4,3,12,1,47,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LNV-1026,109,NF-2104,4,3,12,1,43,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LNV-1027,109,NF-2105,4,3,12,1,43,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LNV-1019,109,NF-2106,4,3,12,1,44,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LNV-1020,109,NF-2107,4,4,12,1,17,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LNV-1028,109,NF-2108,4,3,12,1,43,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LNV-1021,109,NF-2109,4,4,12,1,10,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LNV-1022,109,NF-2110,4,4,12,1,43,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LNV-1023,109,NF-2111,4,4,12,1,24,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LNV-1024,109,NF-2112,4,4,12,1,17,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LNV-1025,109,NF-2113,4,4,12,1,31,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LSV-1001,110,SN-2001,3,3,12,2,29,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LSV-1002,110,SN-2002,3,3,12,2,31,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LSV-1003,110,SN-2003,3,3,12,2,29,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LSV-1004,110,SN-2004,3,3,12,2,31,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LSV-1005,110,SN-2101,4,3,12,1,48,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LSV-1006,110,SN-2102,4,3,12,1,31,1,6,Null,2021-10-19,2021-10-19
